stn_code,stn_delay_all,stn_delay_nowinter,stn_traff
PDKN,22.6342835277,21.189342113,21
GOM,0.696534034034,0.784438502674,8
GOA,19.0809907368,18.7343045854,8
GHNA,13.3546903362,9.587500632,8
GPZ,1.39752431002,1.60319458582,12
GOL,28.8082762349,23.8866669787,18
GKK,6.2419094692,6.71178813575,12
GOK,35.6444098335,36.9899694381,12
GKL,2.69443124672,2.34372563895,45
GK,21.7108136038,21.2003918694,8
GRE,15.4731847524,14.9860651595,4
GLGT,3.1981945075,2.19777536393,6
GKJ,4.37116402116,3.32756410256,12
GLNA,35.5961065318,34.0914674087,6
GJH,175.24882107,163.769843396,16
GLY,75.0249516603,69.327649168,16
GLP,26.3362229162,25.5124595543,21
GTNR,48.5226255669,31.9544648967,21
GMO,115.366984922,90.6131968233,84
GTT,7.35691753787,2.92435264624,7
GD,142.033269495,99.2279782812,144
GDL,10.9286704857,7.38148753811,27
G,26.9061690433,22.5046819604,150
GNVR,5.47977242615,5.48186995372,7
GNA,27.6468188634,20.3504765939,20
GY,20.9699515452,19.6392650314,84
GOP,3.61571119146,3.0942757631,6
GRKN,19.0219449207,18.9262444513,8
GKC,83.2368881364,77.3867560083,34
GKP,121.26417898,88.4631590526,226
GPJ,82.3223400129,77.9656756757,2
GRL,124.299887515,100.509516069,20
GRY,77.5728846138,67.5282715069,14
GNO,78.7574613871,78.1325667612,4
GVR,1.00445838977,0.732290640394,18
GRJA,8.19478506116,2.50710913313,4
GSPR,69.8910904464,65.085591151,16
GGJ,136.340709025,115.066654412,28
GOGH,63.6810949891,47.7297983573,18
GOTN,39.9227286642,30.111506246,38
GTE,7.08518883136,7.07195505258,21
GTX,11.4455728598,10.8795203376,14
GTLM,30.0230023397,30.6911625971,8
GZM,13.5053870349,11.9863074277,8
GDO,99.2509944106,85.131379621,8
GVG,114.117164017,89.1169739658,18
GVMR,20.9438472766,17.6342980452,4
GBX,40.3561031799,35.2834312798,9
GOY,162.16838613,151.808388729,26
GWV,7.63629229542,6.77133671537,34
GBB,4.2331738183,4.0097225739,19
GDPT,62.2051523866,58.7785836275,6
GDI,3.94249252851,3.20364629764,11
GA,20.9438472766,17.6342980452,4
